bus_name,gen_name,point,fuel,capacity
RIESEL 1 2,SANDY_CREEK_J04,POINT (-96.944549 31.458257298444906),ST,126.0
ODESSA 1 3,ODESSA_ECTOR_POWER2_CC2,POINT (-102.31380000000001 31.802828482374792),CT,323.0
SAVOY 2,SAVOY_STATION_ST1,POINT (-96.355005 33.6154025234591),ST,470.0
HOUSTON 6 0,GREENS_BAYOU_GT4,POINT (-95.215109 29.819702359047994),GT,80.0
HOUSTON 5 7,TH_WARTON1_CC8,POINT (-95.52556 29.93015710127161),CC,466.0
DEER PARK 7,DEER_PARK_ENERGY_CENTER_CC2,POINT (-95.12381600000002 29.71286750999621),CC,1016.0
ROCKDALE 1 3,SANDOW_U4,POINT (-97.05143200000002 30.54649555124572),ST,756.0
PASADENA 3 4,TEXAS_CITY_POWER_CC1,POINT (-95.04076 29.615927870959286),CT,131.0
ALVIN 0,AMOCO_UNIT3,POINT (-95.18288 29.422491490378206),CC,135.0
CEDAR CREEK 1 3,BASTROP_ENERGY_CENTER_CC1,POINT (-97.54496000000002 30.139262271471804),CT,480.0
LA GRANGE 4,FAYETTE_POWER_U2_J2,POINT (-96.738 29.897696281486102),ST,362.0
HOUSTON 5 5,TH_WARTON1_CC4,POINT (-95.52556 29.932652976625693),CT,232.0
PASADENA 2 6,CHANNEL_ENERGY_CENTER2_CC3,POINT (-95.171439 29.714432670870917),CT,577.0
FREEPORT 2 0,DOWGEN_UNIT10,POINT (-95.396681 28.98499101570269),GT,97.0
HOUSTON 5 11,TH_WARTON2_CC8,POINT (-95.52556 29.925165162777002),CC,484.0
TEMPLE 1 4,PANDA_TEMPLE_I_CC3,POINT (-97.311822 31.033471416601706),CC,918.0
BRIDGEPORT 7,JACK_COUNTY_GEN_FACILITY_2_CC2,POINT (-97.90820000000001 33.16853016985089),CT,401.0
SAN ANTONIO 1 8,JK_SPRUCE_U1,POINT (-98.33826000000002 29.416043727018),ST,672.0
FAIRFIELD 1 3,FREESTONE_ENERGY_CENTER1_CC1,POINT (-96.1005 31.877708504757106),CT,21000.0
PALO PINTO 1 3,RW_MILLER_STG_U2,POINT (-98.29770000000002 32.636123562607004),ST,144.0
FAIRFIELD 2 4,BIG_BROWN_U2,POINT (-96.04180000000001 31.80453921349961),ST,72240.0
BRIDGEPORT 6,JACK_COUNTY_GEN_FACILITY_2_CC1,POINT (-97.90820000000001 33.17154355183101),CT,404.0
SAN ANTONIO 2 8,LEON_CREEK_PEAKER_CTG_3,POINT (-98.60886 29.576064026414194),GT,55.0
AUSTIN 2 4,SANDHILL_ENERGY_CENTER_CC2,POINT (-97.60786 30.203266516170505),CT,199.0
ALVIN 0,AMOCO_UNIT2,POINT (-95.18288 29.422491490378206),CC,207.0
BAYTOWN 1 7,CEDAR_BAYOU_CC2,POINT (-94.90886 29.662826214754595),CT,384.0
FAIRFIELD 1 8,FREESTONE_ENERGY_CENTER2_CC3,POINT (-96.1005 31.86242204696871),CC,63599.0
FREEPORT 2 0,DOWGEN_UNIT1,POINT (-95.396681 28.98499101570269),GT,121.0
FREEPORT 1 3,FREEPORT_LNG_GT1,POINT (-95.3294 28.969964483562304),GT,149.0
POINT COMFORT 2 5,FORMOSA_GT3,POINT (-96.5291 28.668802166523907),GT,138.0
WHARTON 1 3,COLORADO_BEND_ENERGY_CENTER_1_CC2,POINT (-96.0557 29.274454874592493),CC,300.0
BROWNSVILLE 1 0,SILAS_RAY_ST3,POINT (-97.51060000000001 25.906623725411485),ST,221.0
